athlete_id,event_timestamp,total_lift,age,weight,height,gender,region
84,2024-01-01 04:56:40+00:00,1190.0,25.0,160.0,68.0,Male,Northern California
86,2024-01-01 00:45:00+00:00,1225.0,32.0,225.0,77.0,Male,Northern California
88,2024-01-01 03:58:20+00:00,1543.0,30.0,200.0,72.0,Male,Northern California
93,2024-01-01 02:46:40+00:00,1080.0,32.0,200.0,72.0,Male,Northern California
96,2024-01-03 05:05:57+00:00,523.0,30.0,125.0,69.0,Female,Northern California
1617,2024-01-01 22:01:27+00:00,1240.0,47.0,187.0,70.0,Male,South East
1618,2024-01-01 01:25:00+00:00,1120.0,31.0,174.0,68.0,Male,South Central
1620,2024-01-02 05:27:17+00:00,1395.0,26.0,240.0,72.0,Male,Latin America
1621,2024-01-01 02:06:40+00:00,1065.0,36.0,175.0,72.0,Male,
1623,2024-01-01 04:30:00+00:00,1075.0,31.0,170.0,70.0,Male,Southern California
1624,2024-01-01 03:43:20+00:00,1025.0,35.0,191.0,74.0,Male,Australia
1626,2024-01-03 07:33:30+00:00,730.0,26.0,143.0,60.0,Female,Southern California
1628,2024-01-05 08:58:36+00:00,1300.0,30.0,210.0,73.0,Male,
1630,2024-01-01 01:33:20+00:00,1320.0,32.0,250.0,72.0,Male,
1632,2024-01-02 11:29:11+00:00,1205.0,31.0,215.0,71.0,Male,North East
1633,2024-01-01 10:52:54+00:00,1138.0,40.0,150.0,64.0,Male,Mid Atlantic
1636,2024-01-01 01:01:40+00:00,1340.0,34.0,198.0,70.0,Male,North Central
1637,2024-01-03 00:57:22+00:00,1048.0,27.0,,69.0,Female,Mid Atlantic
1640,2024-01-01 01:43:20+00:00,1375.0,35.0,185.0,70.0,Male,
1643,2024-01-01 09:22:46+00:00,1305.0,32.0,204.0,73.0,Male,Central East
1644,2024-01-01 04:15:00+00:00,1185.0,22.0,185.0,70.0,Male,Central East
1645,2024-01-01 05:01:40+00:00,1172.0,32.0,229.0,69.0,Male,South Central
1647,2024-01-01 06:45:00+00:00,1420.0,25.0,175.0,67.0,Male,South West
1650,2024-01-02 10:56:09+00:00,1175.0,51.0,185.0,70.0,Male,South East
1651,2024-01-01 08:39:03+00:00,1120.0,37.0,165.0,66.0,Male,Mid Atlantic
